127.0.0.1 - - [06/May/2024:11:10:17 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [06/May/2024:11:10:19 +0530] "GET /gcomp/ HTTP/1.1" 200 10720
0:0:0:0:0:0:0:1 - - [06/May/2024:11:10:20 +0530] "GET /gcomp/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2024:11:10:20 +0530] "GET /gcomp/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2024:11:10:20 +0530] "GET /gcomp/img/course02.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2024:11:10:20 +0530] "GET /gcomp/img/logo-alt.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2024:11:10:20 +0530] "GET /gcomp/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2024:11:10:20 +0530] "GET /gcomp/img/course01.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2024:11:10:20 +0530] "GET /gcomp/img/course03.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2024:11:10:20 +0530] "GET /gcomp/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2024:11:10:20 +0530] "GET /gcomp/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2024:11:10:20 +0530] "GET /gcomp/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2024:11:10:20 +0530] "GET /gcomp/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2024:11:10:20 +0530] "GET /gcomp/img/course04.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2024:11:10:41 +0530] "GET /gcomp/img/cta2-background.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2024:11:10:42 +0530] "GET /gcomp/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2024:11:10:42 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [06/May/2024:11:10:47 +0530] "GET /gcomp/login.jsp HTTP/1.1" 200 6070
0:0:0:0:0:0:0:1 - - [06/May/2024:11:10:47 +0530] "GET /gcomp/login.css HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [06/May/2024:11:11:01 +0530] "GET /gcomp/Register.jsp HTTP/1.1" 200 5888
0:0:0:0:0:0:0:1 - - [06/May/2024:11:11:01 +0530] "GET /gcomp/login.css HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [06/May/2024:11:11:51 +0530] "POST /gcomp/Register HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/May/2024:11:11:51 +0530] "GET /gcomp/login.jsp?registration=success HTTP/1.1" 200 6159
0:0:0:0:0:0:0:1 - - [06/May/2024:11:11:51 +0530] "GET /gcomp/login.css HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [06/May/2024:11:12:00 +0530] "POST /gcomp/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/May/2024:11:12:00 +0530] "GET /gcomp/login.jsp?error=1 HTTP/1.1" 200 6149
0:0:0:0:0:0:0:1 - - [06/May/2024:11:12:00 +0530] "GET /gcomp/login.css HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [06/May/2024:11:12:13 +0530] "POST /gcomp/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/May/2024:11:12:13 +0530] "GET /gcomp/welcome.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2024:11:12:58 +0530] "GET /gcomp/contact.html HTTP/1.1" 200 7153
0:0:0:0:0:0:0:1 - - [06/May/2024:11:12:58 +0530] "GET /gcomp/js/google-map.js HTTP/1.1" 304 -
