127.0.0.1 - - [12/Jun/2024:10:30:11 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [12/Jun/2024:10:30:14 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [12/Jun/2024:10:30:17 +0530] "GET /gcomp/login.jsp HTTP/1.1" 200 6070
0:0:0:0:0:0:0:1 - - [12/Jun/2024:10:30:17 +0530] "GET /gcomp/login.css HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [12/Jun/2024:10:30:24 +0530] "POST /gcomp/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jun/2024:10:30:24 +0530] "GET /gcomp/welcome.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2024:10:30:30 +0530] "GET /gcomp/courses.html HTTP/1.1" 200 16291
0:0:0:0:0:0:0:1 - - [12/Jun/2024:10:30:30 +0530] "GET /gcomp/css/styles.css HTTP/1.1" 200 236791
0:0:0:0:0:0:0:1 - - [12/Jun/2024:10:30:30 +0530] "GET /gcomp/js/scripts.js HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [12/Jun/2024:10:30:30 +0530] "GET /gcomp/img/course08.jpg HTTP/1.1" 200 5887
0:0:0:0:0:0:0:1 - - [12/Jun/2024:10:30:30 +0530] "GET /gcomp/img/course05'.jpg HTTP/1.1" 200 6142
0:0:0:0:0:0:0:1 - - [12/Jun/2024:10:30:30 +0530] "GET /gcomp/img/course07.jpg HTTP/1.1" 200 6607
0:0:0:0:0:0:0:1 - - [12/Jun/2024:10:30:30 +0530] "GET /gcomp/img/course06.jpg HTTP/1.1" 200 8011
0:0:0:0:0:0:0:1 - - [12/Jun/2024:10:30:31 +0530] "GET /gcomp/assets/favicon.ico HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [12/Jun/2024:10:30:32 +0530] "GET /gcomp/js/google-map.js HTTP/1.1" 200 4349
0:0:0:0:0:0:0:1 - - [12/Jun/2024:10:30:32 +0530] "GET /gcomp/img/page-background1.jpg HTTP/1.1" 200 566889
0:0:0:0:0:0:0:1 - - [12/Jun/2024:10:30:45 +0530] "GET /gcomp/index.html HTTP/1.1" 200 10720
